id,nombre,correo,ciudad,telefono
59,Juan Antonio Armas,cesar05@yahoo.com,Girona,+34728493020
60,Filomena Castells Quintana,hildamaza@losada-correa.es,Madrid,+34921282000
61,Alfredo Dan Marín Ariza,juanita14@minguez-barcena.es,Toledo,+34718 40 63 30
62,Mauricio Alsina Gallo,rvaldes@yahoo.com,Castellón,+34741437980
63,Fidel Mármol Goñi,victoriano37@gmail.com,Madrid,+34743 230 974
64,Dominga Soriano Contreras,encarnacortes@gmail.com,Barcelona,+34706 56 16 05
65,Xiomara Carranza-Pla,augustomontoya@blasco.es,Granada,+34872 21 35 88
66,Plácido Aragón Ayllón,pcapdevila@hotmail.com,Asturias,+34610 82 87 05
67,Saturnino Reig-Molina,fabiana54@elias.es,Asturias,+34906 383 049
68,Ezequiel Camacho,rmarin@camino.com,La Rioja,+34712 59 04 49
69,Mercedes Reig,canasmaria-angeles@aragones-rosell.org,Cantabria,+34712 82 79 53
70,Juan Pablo Calvo Prieto,ysantamaria@gmail.com,Burgos,+34 711 67 59 94
71,Graciela Silva,sebastiansalamanca@hotmail.com,Zamora,+34 871937501
72,Lucho Cristóbal Pedrero Nevado,herminioescalona@yahoo.com,Baleares,+34870809510
73,Alba Rosalva Plaza Fajardo,zoraidaroda@yahoo.com,Álava,+34737993255
74,Joan Gutierrez-Aparicio,pabad@hotmail.com,Cuenca,+34841 83 12 14
75,Fernanda de Aguilar,herminioribas@corbacho.es,Navarra,+34 735 017 038
76,Amador Castellanos Fuertes,qcamara@delgado-aparicio.es,Huesca,+34 824 977 240
77,Trinidad Palomino Palomino,gbejarano@canete.es,Murcia,+34611 477 515
78,Reina de Ureña,rogeliocasanovas@canales.es,León,+34 711 541 283
79,Teresita Sala,xfranco@hotmail.com,Segovia,+34 991403707
80,Verónica Ema Plana Chamorro,chus51@alegria.com,Zamora,+34 683 65 90 50
81,Xiomara Hernando Martinez,nicodemo52@hotmail.com,Salamanca,+34 704 681 219
82,Roberta Morell Frías,guitartalcides@roda-vargas.es,Navarra,+34 709 411 966
83,Primitivo Blázquez,estevezotilia@hotmail.com,Teruel,+34946 015 932
84,Marciano Manzanares Abellán,leocadioros@ledesma.es,Ciudad,+34811 028 933
85,Saturnino Alarcón,huertasroxana@izquierdo-pinilla.es,Ciudad,+34 707 07 14 81
86,Quirino Cisneros Llobet,bellidoaranzazu@gmail.com,Tarragona,+34 746 87 65 45
87,Febe Lago Farré,kjaume@pinilla-pinedo.es,Salamanca,+34878 66 74 34
88,Anastasia Mayol Valverde,calisto61@oliver-alegria.net,Valencia,+34741988321
89,Édgar Llano-Guzman,pulidoconcepcion@yahoo.com,Álava,+34718 349 662
90,Rodrigo Reinaldo Velázquez Vilanova,jarevalo@gmail.com,Vizcaya,+34 747394978
91,Manola Palmer-Vila,patricia79@carpio.org,Tarragona,+34 666 50 12 42
92,Clementina Peláez Pi,santosbaltasar@paredes.es,Madrid,+34730 646 056
93,Ciro Pons-Buendía,rouraomar@yahoo.com,Melilla,+34727359995
94,Dionisia Arellano Bonet,mquintana@andres.com,Huesca,+34737237007
95,Socorro Ferreras,julian05@gmail.com,Álava,+34 734 35 15 11
96,Aitor Cervera Cerezo,yolandasabater@rodrigo.org,Ciudad,+34714344747
97,Juan Luis Salazar Lasa,vallejodorita@hotmail.com,Asturias,+34701359962
98,Fabiana Calderon Mateu,cgrau@hotmail.com,Murcia,+34701 86 17 91
99,Diego del Chico,wgomez@gmail.com,Valencia,+34 731 638 295
100,Nerea Oliveras Sans,pozogema@yahoo.com,Valladolid,+34745 95 56 21
